"GEO","TIME","INDIC_ED","UNIT","Value","Flag and Footnotes"
"European Union (28 countries)","2002","Total public expenditure on education as % of GDP, for all levels of education combined","Percentage","5.00","e"
"European Union (28 countries)","2002","Total public expenditure on education as % of GDP, at primary level of education (ISCED 1)","Percentage","1.13","e"
"European Union (28 countries)","2002","Total public expenditure on education as % of GDP, at secondary level of education (ISCED 2-4)","Percentage","2.27","e"
"European Union (28 countries)","2002","Total public expenditure on education as % of GDP, at tertiary level of education (ISCED 5-6)","Percentage","1.12","e"
"European Union (28 countries)","2002","Total public expenditure on education as % of GDP, at pre-primary level of education (ISCED 0) and not allocated by level","Percentage","0.49","e"
"European Union (28 countries)","2003","Total public expenditure on education as % of GDP, for all levels of education combined","Percentage","5.03","e"
"European Union (28 countries)","2003","Total public expenditure on education as % of GDP, at primary level of education (ISCED 1)","Percentage","1.15","e"
"European Union (28 countries)","2003","Total public expenditure on education as % of GDP, at secondary level of education (ISCED 2-4)","Percentage","2.29","e"
"European Union (28 countries)","2003","Total public expenditure on education as % of GDP, at tertiary level of education (ISCED 5-6)","Percentage","1.11","e"
"European Union (28 countries)","2003","Total public expenditure on education as % of GDP, at pre-primary level of education (ISCED 0) and not allocated by level","Percentage","0.48","e"
"European Union (28 countries)","2004","Total public expenditure on education as % of GDP, for all levels of education combined","Percentage","4.95","e"
"European Union (28 countries)","2004","Total public expenditure on education as % of GDP, at primary level of education (ISCED 1)","Percentage","1.14","e"
"European Union (28 countries)","2004","Total public expenditure on education as % of GDP, at secondary level of education (ISCED 2-4)","Percentage","2.23","e"
"European Union (28 countries)","2004","Total public expenditure on education as % of GDP, at tertiary level of education (ISCED 5-6)","Percentage","1.10","e"
"European Union (28 countries)","2004","Total public expenditure on education as % of GDP, at pre-primary level of education (ISCED 0) and not allocated by level","Percentage","0.48","e"
"European Union (28 countries)","2005","Total public expenditure on education as % of GDP, for all levels of education combined","Percentage","4.92","e"
"European Union (28 countries)","2005","Total public expenditure on education as % of GDP, at primary level of education (ISCED 1)","Percentage","1.13","e"
"European Union (28 countries)","2005","Total public expenditure on education as % of GDP, at secondary level of education (ISCED 2-4)","Percentage","2.20","e"
"European Union (28 countries)","2005","Total public expenditure on education as % of GDP, at tertiary level of education (ISCED 5-6)","Percentage","1.12","e"
"European Union (28 countries)","2005","Total public expenditure on education as % of GDP, at pre-primary level of education (ISCED 0) and not allocated by level","Percentage","0.47","e"
"European Union (28 countries)","2006","Total public expenditure on education as % of GDP, for all levels of education combined","Percentage","4.91","e"
